diverse;Bilnøkler;ferie;løp-fly;ritt-bil
diverse;Vaskepulver;småtingpose
diverse;Briller;småtingpose
diverse;Drikkeflaske;ferie;
diverse;Flaske med vann til vasking;løp-bil;
diverse;Fyrstikker;ferie;
elektronikk;Bil-GPS;løp-fly;
elektronikk;Garmin 920XT pulsklokke;konkurransepose
elektronikk;Garmin fotsensor;konkurransepose
elektronikk;Garmin lader;konkurransepose
elektronikk;Garmin pulsbelte;konkurransepose
elektronikk;Garmin pulsbeltestrikk;konkurransepose
diverse;Genser;ferie;
elektronikk;Grenuttak;løp-fly;
klær;Hals;løp-fly;løp-bil;
diverse;Halslomme;løp-fly
klær;Hansker;ferie;løp-fly;løp-bil;
medisiner;Hodepinetabletter;flyreisetoalettsaker
diverse;Hodetlf med støykanselleriing;løp-fly;
diverse;Hotellpapirer;løp-fly;
diverse;Hullemaskin;ferie;
diverse;Informasjonspapir om løp-bil;løp-fly;
diverse;Informasjonspapir om løpet;løp-bil;
diverse;Jakke;ferie;
medisiner;Jernpiller;ferie;
diverse;Joggesko;ferie;
diverse;Kontanter;ferie;løp-fly;løp-bil;
diverse;Kort skjorte;løp-fly;løp-bil;
diverse;Kortbukse;løp-fly;løp-bil;
diverse;Ladekabel til hybrid/el-bil;ferie;
papirer;Laminert kart;løp-fly;ritt-bil;løp-bil;
diverse;Lang kompresjonsbukse;løp-bil;
diverse;Lang løpebukse;løp-fly;
diverse;Lang skjorte;løp-fly;løp-bil;
diverse;Lastereimer;ferie;
diverse;Lesebriller;ferie;
diverse;Lett ryggsekk;løp-bil;
diverse;Liten mobiltelefon;løp-bil;
diverse;Lommebok;løp-fly;løp-bil;
diverse;Lommekniv;løp-bil;
diverse;Lommelykt;løp-fly;
diverse;Lue/pannebånd med skygge;løp-fly;løp-bil;
diverse;Lureteppe;løp-bil;
diverse;Løpebelte;konkurransepose
diverse;Løpejakke;løp-fly;
diverse;Løpesko;løp-fly;
diverse;Løpesokker;løp-fly;løp-bil;
diverse;Mat for reisen;løp-bil;løp-fly;ferie;
diverse;Mat og drikke før løpet;løp-bil;
diverse;Mat og drikke til etter løpet;løp-bil;
diverse;Mikrofiberhåndklede;løp-fly;løp-bil;
diverse;Mobiltelefon;ferie;løp-fly;løp-bil;
diverse;Notatblokk;ferie;løp-fly;løp-bil;
diverse;Notebok;ferie;
diverse;Olabukse;ferie;
diverse;Oppgradere GPS;løp-fly;
diverse;PC;ferie;løp-fly;
diverse;PC-lader;ferie;løp-fly;
diverse;PC-mus;småtingpose;
diverse;Pakketeip;ferie;
diverse;Pass;ferie;løp-fly;
diverse;Plastposer;løp-fly;løp-bil;
diverse;Rapport fra tidligere år;løp-bil;
diverse;Regnjakke;løp-fly;løp-bil;
diverse;Reiseforsikring;løp-fly;
diverse;Reisemat;løp-fly;
diverse;Samekniv;ferie;
diverse;Sekk med drikkepose;løp-bil;
diverse;Sikkerhetsnåler;løp-bil;konkurransepose
diverse;Sko;ferie;løp-bil;
diverse;Skopose;ferie;løp-fly;løp-bil;
diverse;Skrivesaker;løp-fly;løp-bil;ferie;
diverse;Småplastposer;konkurransepose
diverse;Solbriller;ferie;løp-bil;konkurransepose
diverse;Sovemaske;løp-fly;
diverse;Sovepute;løp-bil;
diverse;Startnummer;løp-bil;
diverse;Strandteppe;ferie;
diverse;Søppelsekk;løp-bil;
diverse;Takstativ på bil;ferie;
diverse;Temperaturmåler;løp-fly;
diverse;Teppe til bilsetet;løp-bil;
diverse;Tidsskjema;løp-bil;
diverse;Tidtakerbrikke;løp-bil;
diverse;Tigerbalsam;løp-fly;
diverse;Tjukke sokker;løp-bil;
diverse;Tom drikkeflaske;løp-fly;
diverse;USB strømmåler;løp-fly;
diverse;USB-batteri;løp-fly;
diverse;USB-kabler;løp-fly;
diverse;USB-lader;løp-fly;
diverse;Underbukse;løp-fly;løp-bil;
diverse;Undertrøye;løp-fly;løp-bil;
diverse;Varmeteppe;løp-bil;
diverse;Vekkerklokke;løp-fly;
diverse;Ørepropper MP3;løp-bil;
diverse;Ørepropper musikk;løp-fly;
elektronikk;110V overgang;småtingpose
elektronikk;12V USB-uttak;småtingpose
elektronikk;AA batterier;småtingpose
elektronikk;AAA batterier;småtingpose
elektronikk;Bagasjevekt;småtingpose
elektronikk;Bilkontakt for USB (12V - 5V);ferie;løp-fly;
elektronikk;CR2032-batterier;ferie;
elektronikk;CR2430-batterier;ferie;
elektronikk;ChromeCast;ferie;løp-fly;
elektronikk;Hodetelefoner;ferie;
elektronikk;LR44-batterier;ferie;
elektronikk;Mikrofiberklut;ferie;
elektronikk;Personvekt;ferie;
diverse;Skjermrens;løp-fly;
elektronikk;USB-kabler;småtingpose
elektronikk;USB-ladere;småtingpose;
elektronikk;Walkie-Talkie;ferie;
elektronikk;Ørepropper;ferie;
gjøremål;Fylle opp dosett;ferie
gjøremål;Helle klorin i sluk;ferie;
gjøremål;Klippe negler;ferie;
gjøremål;Klippe skjegget;ferie;
gjøremål;Lade GPS;løp-fly;
gjøremål;Lade USB-batterier;løp-fly;
gjøremål;Lade opp enheter;ferie;
gjøremål;Lage handleliste;ferie;
gjøremål;Legge nøkler på lurt sted i bagasjen;ferie;
gjøremål;Låse garasje;ferie;
gjøremål;Låse hoveddøra;ferie;
gjøremål;Senke markise;ferie;
gjøremål;Sette blomster på kjøkkenet;ferie;
gjøremål;Sette ut plastavfall;ferie;
gjøremål;Sjekke ESTA;løp-fly;
gjøremål;Sjekke alle utganger;ferie;
gjøremål;Sjekke etter gjenglemt bagasje;ferie;
gjøremål;Sjekke gressklipper;ferie;
gjøremål;Sjekke kjøleskap;ferie;
gjøremål;Skru av PCer;ferie;
gjøremål;Skru av fontene;ferie;
gjøremål;Skru av håndkletørker;ferie;
gjøremål;Skru av regionsperre;løp-fly;
gjøremål;Skru av vann til oppvaskmaskin;ferie;
gjøremål;Skru av vann til vaskemaskinen;ferie;
gjøremål;Skru av varmekabler;ferie;
gjøremål;Skru av varmepumpe;ferie;
gjøremål;Skru av varmeveksler;ferie;
gjøremål;Sprøyte plenen;ferie;
gjøremål;Stille inn webkamera;ferie;
gjøremål;Stoppe avisen;ferie;
gjøremål;Stoppe posten;ferie;
gjøremål;Ta ut kontanter;ferie;
gjøremål;Tømme oppvaskmaskin;ferie;
gjøremål;Tømme postkassa;ferie;
gjøremål;Tømme søppel;ferie;
gjøremål;Vanne blomster;ferie;
løping;Fleecegenser;ferie;
løping;Garmin 920XT;ferie;
løping;Garmin pulsbelte x2;ferie;
løping;Ladekabel til 920XT;ferie;
løping;Lue og/eller skygge;ferie;
løping;Løpebukse;ferie;
løping;Løpetrøye;ferie;
løping;Regnfrakk;ferie;
mat;Brunost;ferie;
mat;Egg;ferie;
mat;Formfett;ferie;
mat;Grillpølser;ferie;
mat;Grøtris;ferie;
mat;Kakemiks;ferie;
mat;Potetlomper;ferie;
mat;Nugatti;ferie;
mat;Rømme;ferie;
mat;Vaniljesaus;ferie;
papirer;Bilfordelskort;ferie;løp-fly;
papirer;Flyfordelskort;løp-fly;
papirer;Fordelsprogram-kort;ferie;
papirer;Førerkort;løp-fly;løp-bil;
papirer;Karlsborgperm;ferie;
papirer;Kodebrikke til nettbank;ferie;
papirer;Kodekort til nettbank;ferie;
papirer;Kredittkort;løp-fly;
papirer;Pennal;ferie;
papirer;Reiseforsikring;ferie;
papirer;Sovemaske;ferie;
papirer;Uleste blader;ferie;
papirer;Uleste bøker;ferie;
papirer;Visittkort;ferie;
papirer;Visumpapirer/ESTA;løp-fly;
svømming;Badebukse;ferie;
svømming;Badehette;ferie;
svømming;Håndklede;ferie;
svømming;Svømmebriller;ferie;
svømming;Vanntermometer;ferie;
svømming;Våtdrakt;triatlon;
klær;Bilteppe;ritt-bil;løp-bil;
sykkel;Garmin Edge 500;ritt-bil;triatlon
klær;Hjelm;ritt-bil;triatlon
sykkel;Hjulrettestativ;ritt-bil;triatlon
klær;Kortermet sykkeltrøye;ritt-bil;triatlon
sykkel;Ladekabel til Edge 500;ritt-bil;triatlon
klær;Langermet sykkeltrøye;ritt-bil;triatlon
klær;Mikrofiber håndkle;ferie;
